rowid,order,family,genus,species,longitude,latitude,year,source
1,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-47.92796182,-25.08685287,2008,atlantic_bats
2,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-49.08,-27.06,NA,atlantic_bats
3,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-49.30105648,-20.7022129,2009,atlantic_bats
4,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-48.39966688,-22.80323607,NA,atlantic_bats
5,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-43.38,-22.57,2010,atlantic_bats
6,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-43.4583,-22.967,NA,atlantic_bats
7,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-51.25,-23.45,NA,atlantic_bats
8,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-43.48601593,-20.06519766,NA,atlantic_bats
9,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-51.18967251,-23.38168378,2000,atlantic_bats
10,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-43.98055869,-23.05914509,NA,atlantic_bats
11,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-41.81756732,-19.73626113,NA,atlantic_bats
12,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-48.29749023,-25.18509152,NA,atlantic_bats
13,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-47.44151671,-22.05033143,2013,atlantic_bats
14,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-47.72969585,-21.55564617,2013,atlantic_bats
15,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-47.83276325,-21.52652292,2013,atlantic_bats
16,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-47.34048143,-21.27941729,2013,atlantic_bats
17,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-47.64741523,-22.14771356,2013,atlantic_bats
18,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-47.6138473,-21.64308912,2013,atlantic_bats
19,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-47.69120129,-22.24207107,2013,atlantic_bats
20,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-48.11417609,-22.30362961,2013,atlantic_bats
21,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-47.80057311,-21.60909899,2013,atlantic_bats
22,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,-47.41418391,-21.84274815,2013,atlantic_bats
