rowid,order,family,genus,species,longitude,latitude,year,source
1,Carnivora,Canidae,Canis,Canis familiaris,-41.81,-19.72,2007,atlantic_camtrap
2,Carnivora,Felidae,Leopardus,Leopardus pardalis,-41.81,-19.72,2007,atlantic_camtrap
3,Carnivora,Felidae,Puma,Puma concolor,-41.81,-19.72,2007,atlantic_camtrap
4,Carnivora,Felidae,Puma,Puma yagouaroundi,-41.81,-19.72,2007,atlantic_camtrap
5,Carnivora,Mustelidae,Eira,Eira barbara,-41.81,-19.72,2007,atlantic_camtrap
6,Carnivora,Procyonidae,Nasua,Nasua nasua,-41.81,-19.72,2007,atlantic_camtrap
7,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,-41.81,-19.72,2007,atlantic_camtrap
8,Cingulata,Dasypodidae,Cabassous,Cabassous tatouay,-41.81,-19.72,2007,atlantic_camtrap
9,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,-41.81,-19.72,2007,atlantic_camtrap
10,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus brasiliensis,-41.81,-19.72,2007,atlantic_camtrap
11,Rodentia,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris,-41.81,-19.72,2007,atlantic_camtrap
12,Rodentia,Cuniculidae,Cuniculus,Cuniculus paca,-41.81,-19.72,2007,atlantic_camtrap
13,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,-41.81,-19.72,2007,atlantic_camtrap
14,Carnivora,Canidae,Canis,Canis familiaris,-41.81,-19.72,2008,atlantic_camtrap
15,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,-41.81,-19.72,2008,atlantic_camtrap
16,Carnivora,Felidae,Leopardus,Leopardus pardalis,-41.81,-19.72,2008,atlantic_camtrap
17,Carnivora,Felidae,Leopardus,Leopardus sp.,-41.81,-19.72,2008,atlantic_camtrap
18,Carnivora,Felidae,Puma,Puma concolor,-41.81,-19.72,2008,atlantic_camtrap
19,Carnivora,Felidae,Puma,Puma yagouaroundi,-41.81,-19.72,2008,atlantic_camtrap
20,Carnivora,Mustelidae,Eira,Eira barbara,-41.81,-19.72,2008,atlantic_camtrap
21,Carnivora,Procyonidae,Nasua,Nasua nasua,-41.81,-19.72,2008,atlantic_camtrap
22,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,-41.81,-19.72,2008,atlantic_camtrap
23,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,-41.81,-19.72,2008,atlantic_camtrap
24,Cingulata,Dasypodidae,Euphractus,Euphractus sexcinctus,-41.81,-19.72,2008,atlantic_camtrap
25,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus brasiliensis,-41.81,-19.72,2008,atlantic_camtrap
26,Pilosa,Myrmecophagidae,Tamandua,Tamandua tetradactyla,-41.81,-19.72,2008,atlantic_camtrap
27,Rodentia,Cuniculidae,Cuniculus,Cuniculus paca,-41.81,-19.72,2008,atlantic_camtrap
28,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,-41.81,-19.72,2008,atlantic_camtrap
29,Artiodactyla,Cervidae,Mazama,Mazama sp.,-48.38,-23.84,2009,atlantic_camtrap
30,Artiodactyla,Tayassuidae,Pecari,Pecari tajacu,-48.38,-23.84,2009,atlantic_camtrap
31,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,-48.38,-23.84,2009,atlantic_camtrap
32,Carnivora,Mustelidae,Eira,Eira barbara,-48.38,-23.84,2009,atlantic_camtrap
33,Carnivora,Procyonidae,Nasua,Nasua nasua,-48.38,-23.84,2009,atlantic_camtrap
34,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,-48.38,-23.84,2009,atlantic_camtrap
35,Didelphimorphia,Didelphidae,Didelphis,Didelphis sp.,-48.38,-23.84,2009,atlantic_camtrap
36,Pilosa,Myrmecophagidae,Myrmecophaga,Myrmecophaga tridactyla,-48.38,-23.84,2009,atlantic_camtrap
37,Pilosa,Myrmecophagidae,Tamandua,Tamandua tetradactyla,-48.38,-23.84,2009,atlantic_camtrap
38,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta azarae,-48.38,-23.84,2009,atlantic_camtrap
