rowid,order,family,genus,species,longitude,latitude,year,source
1,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals
2,Rodentia,Cuniculidae,Cuniculus,Cuniculus paca,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals
3,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals
4,Primates,Cebidae,Sapajus,Sapajus nigritus,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals
5,Primates,Atelidae,Alouatta,Alouatta guariba,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals
6,Carnivora,Felidae,Leopardus,Leopardus wiedii,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals
7,Carnivora,Mustelidae,Lontra,Lontra longicaudis,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals
8,Carnivora,Mustelidae,Eira,Eira barbara,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals
9,Carnivora,Procyonidae,Nasua,Nasua nasua,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals
10,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals
11,Artiodactyla,Cervidae,Mazama,Mazama sp.,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals
12,Rodentia,Cuniculidae,Cuniculus,Cuniculus paca,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals
13,Rodentia,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals
14,Didelphimorphia,Didelphidae,Didelphis,Didelphis aurita,-41.872722,-21.484167,2006,atlantic_large_mammals
15,Carnivora,Procyonidae,Nasua,Nasua nasua,-41.872722,-21.484167,2006,atlantic_large_mammals
16,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,-41.872722,-21.484167,2006,atlantic_large_mammals
17,Rodentia,Cuniculidae,Cuniculus,Cuniculus paca,-41.872722,-21.484167,2006,atlantic_large_mammals
18,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,-41.872722,-21.484167,2006,atlantic_large_mammals
19,Artiodactyla,Cervidae,Mazama,Mazama sp.,-48.41048299999999,-22.818474000000002,2005,atlantic_large_mammals
20,Carnivora,Felidae,Puma,Puma concolor,-48.41048299999999,-22.818474000000002,2005,atlantic_large_mammals
21,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,-48.41048299999999,-22.818474000000002,2005,atlantic_large_mammals
22,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,-48.41048299999999,-22.818474000000002,2005,atlantic_large_mammals
