rowid,order,family,genus,species,longitude,latitude,year,source
1,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.960783,-25.859418,2012,atlantic_primates
2,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.984461,-25.854976,2012,atlantic_primates
3,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.903056,-25.862222,2012,atlantic_primates
4,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.83333333,-26.5,2007,atlantic_primates
5,Primates,Atelidae,Alouatta,Alouatta guariba,-53.83333333,-26.5,2007,atlantic_primates
6,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.966667,-26.466667,1994,atlantic_primates
7,Primates,Atelidae,Alouatta,Alouatta caraya,-53.83333333,-26.5,2007,atlantic_primates
8,Primates,Atelidae,Alouatta,Alouatta guariba,-53.966667,-26.466667,1994,atlantic_primates
9,Primates,Atelidae,Alouatta,Alouatta guariba,-49.41,-25.48,2014,atlantic_primates
10,Primates,Pitheciidae,Callicebus,Callicebus nigrifrons,-43.5443,-20.2707,2008,atlantic_primates
11,Primates,Callitrichidae,Callithrix,Callithrix jacchus,-38.54,-3.95,2011,atlantic_primates
12,Primates,Atelidae,Alouatta,Alouatta guariba,-44.5575,-22.149,NA,atlantic_primates
13,Primates,Atelidae,Brachyteles,Brachyteles arachnoides,-44.5575,-22.149,NA,atlantic_primates
14,Primates,Pitheciidae,Callicebus,Callicebus nigrifrons,-44.5575,-22.149,NA,atlantic_primates
15,Primates,Callitrichidae,Callithrix,Callithrix jacchus,-39.2824,-3.484,2011,atlantic_primates
16,Primates,Atelidae,Alouatta,Alouatta guariba,-49.3572,-26.394,2013,atlantic_primates
17,Primates,Cebidae,Sapajus,Sapajus nigritus,-49.3572,-26.394,2013,atlantic_primates
18,Primates,Callitrichidae,Callithrix,Callithrix jacchus,-43.1609,-22.5915,2012,atlantic_primates
19,Primates,Cebidae,Sapajus,Sapajus nigritus,-43.1609,-22.5915,2012,atlantic_primates
20,Primates,Atelidae,Alouatta,Alouatta guariba,-49.5521,-26.3212,2008,atlantic_primates
21,Primates,Atelidae,Alouatta,Alouatta guariba,-49.0624,-26.1128,2005,atlantic_primates
22,Primates,Cebidae,Sapajus,Sapajus nigritus,-49.0624,-26.1128,2005,atlantic_primates
23,Primates,Atelidae,Alouatta,Alouatta guariba,-50.4825,-29.2013,NA,atlantic_primates
24,Primates,Atelidae,Alouatta,Alouatta guariba,-50.2969,-26.2122,2005,atlantic_primates
25,Primates,Pitheciidae,Callicebus,Callicebus melanochir,-39.5154,-18.0949,1998,atlantic_primates
26,Primates,Callitrichidae,Callithrix,Callithrix geoffroyi,-39.5154,-18.0949,1998,atlantic_primates
