rowid,order,family,genus,species,longitude,latitude,year,source
1,Didelphimorphia,Didelphidae,Metachirus,Metachirus nudicaudatus,-47.92003056,-25.06930556,2013,atlantic_small_mammals
2,Didelphimorphia,Didelphidae,Didelphis,Didelphis aurita,-47.92003056,-25.06930556,2013,atlantic_small_mammals
3,Rodentia,Cricetidae,Akodon,Akodon cursor,-47.92003056,-25.06930556,2013,atlantic_small_mammals
4,Rodentia,Cricetidae,Akodon,Akodon cursor,-47.92003056,-25.06930556,2013,atlantic_small_mammals
5,Rodentia,Cricetidae,Euryoryzomys,Euryoryzomys russatus,-47.92003056,-25.06930556,2013,atlantic_small_mammals
6,Rodentia,Cricetidae,Euryoryzomys,Euryoryzomys russatus,-47.92003056,-25.06930556,2013,atlantic_small_mammals
7,Rodentia,Cricetidae,Nectomys,Nectomys squamipes,-47.92003056,-25.06930556,2013,atlantic_small_mammals
8,Rodentia,Cricetidae,Juliomys,Juliomys pictipes,-47.92003056,-25.06930556,2013,atlantic_small_mammals
9,Rodentia,Cricetidae,Oecomys,Oecomys catherinae,-47.92003056,-25.06930556,2013,atlantic_small_mammals
10,Rodentia,Cricetidae,Oligoryzomys,Oligoryzomys nigripes,-47.92003056,-25.06930556,2013,atlantic_small_mammals
11,Didelphimorphia,Didelphidae,Didelphis,Didelphis aurita,-45.08333333,-23.31666667,NA,atlantic_small_mammals
12,Didelphimorphia,Didelphidae,Marmosops,Marmosops incanus,-45.08333333,-23.31666667,NA,atlantic_small_mammals
13,Didelphimorphia,Didelphidae,Monodelphis,Monodelphis pinocchio,-45.08333333,-23.31666667,NA,atlantic_small_mammals
14,Didelphimorphia,Didelphidae,Monodelphis,Monodelphis iheringi,-45.08333333,-23.31666667,NA,atlantic_small_mammals
15,Didelphimorphia,Didelphidae,Monodelphis,Monodelphis scalops,-45.08333333,-23.31666667,NA,atlantic_small_mammals
16,Didelphimorphia,Didelphidae,Philander,Philander frenatus,-45.08333333,-23.31666667,NA,atlantic_small_mammals
17,Rodentia,Cricetidae,Akodon,Akodon montensis,-45.08333333,-23.31666667,NA,atlantic_small_mammals
18,Rodentia,Cricetidae,Blarinomys,Blarinomys breviceps,-45.08333333,-23.31666667,NA,atlantic_small_mammals
19,Rodentia,Cricetidae,Brucepattersonius,Brucepattersonius soricinus,-45.08333333,-23.31666667,NA,atlantic_small_mammals
