rowid,order,family,genus,species,longitude,latitude,year,source
1,Rodentia,Cricetidae,Calomys,Calomys expulsus,-35.14583,-6.74,2014,atlantic_small_mammals_abu
2,Rodentia,Cricetidae,Cerradomys,Cerradomys langguthi,-35.14583,-6.74,2014,atlantic_small_mammals_abu
3,Didelphimorphia,Didelphidae,Didelphis,Didelphis albiventris,-35.14583,-6.74,2014,atlantic_small_mammals_abu
4,Didelphimorphia,Didelphidae,Gracilinanus,Gracilinanus sp.,-35.14583,-6.74,2014,atlantic_small_mammals_abu
5,Didelphimorphia,Didelphidae,Marmosa,Marmosa demerarae,-35.14583,-6.74,2014,atlantic_small_mammals_abu
6,Didelphimorphia,Didelphidae,Monodelphis,Monodelphis domestica,-35.14583,-6.74,2014,atlantic_small_mammals_abu
7,Rodentia,Cricetidae,Necromys,Necromys lasiurus,-35.14583,-6.74,2014,atlantic_small_mammals_abu
8,Rodentia,Cricetidae,Nectomys,Nectomys rattus,-35.14583,-6.74,2014,atlantic_small_mammals_abu
9,Rodentia,Cricetidae,Cerradomys,Cerradomys langguthi,-35.14583,-6.74,2015,atlantic_small_mammals_abu
10,Didelphimorphia,Didelphidae,Didelphis,Didelphis albiventris,-35.14583,-6.74,2015,atlantic_small_mammals_abu
11,NA,NA,Galea,Galea spixii,-35.14583,-6.74,2015,atlantic_small_mammals_abu
12,Didelphimorphia,Didelphidae,Gracilinanus,Gracilinanus sp.,-35.14583,-6.74,2015,atlantic_small_mammals_abu
13,Didelphimorphia,Didelphidae,Marmosa,Marmosa demerarae,-35.14583,-6.74,2015,atlantic_small_mammals_abu
14,Didelphimorphia,Didelphidae,Marmosa,Marmosa murina,-35.14583,-6.74,2015,atlantic_small_mammals_abu
15,Rodentia,Cricetidae,Necromys,Necromys lasiurus,-35.14583,-6.74,2015,atlantic_small_mammals_abu
16,Rodentia,Cricetidae,Nectomys,Nectomys rattus,-35.14583,-6.74,2015,atlantic_small_mammals_abu
17,Rodentia,Cricetidae,Cerradomys,Cerradomys langguthi,-35.49083,-7.59083,2003,atlantic_small_mammals_abu
18,Didelphimorphia,Didelphidae,Didelphis,Didelphis albiventris,-35.49083,-7.59083,2003,atlantic_small_mammals_abu
19,NA,NA,Galea,Galea spixii,-35.49083,-7.59083,2003,atlantic_small_mammals_abu
20,Rodentia,Cricetidae,Holochilus,Holochilus sciureus,-35.49083,-7.59083,2003,atlantic_small_mammals_abu
21,Didelphimorphia,Didelphidae,Marmosa,Marmosa murina,-35.49083,-7.59083,2003,atlantic_small_mammals_abu
22,Didelphimorphia,Didelphidae,Monodelphis,Monodelphis domestica,-35.49083,-7.59083,2003,atlantic_small_mammals_abu
